state,total_forecast_mean,total_forecast_max,total_historical,num_districts_forecasted,forecast_increase
Andaman & Nicobar Islands,24.44498146097903,26.464248719728214,3050,4,-99.16601175152479
Andaman And Nicobar Islands,113.32072929898494,118.14564339089705,22167,6,-99.48429840626585
Andhra Pradesh,14918.91082738152,20949.468023518726,2959010,17,-99.49578048789337
Arunachal Pradesh,415.79165059177416,456.6053599559209,72751,20,-99.42710626430646
Assam,7959.345202222101,10310.676990146001,943053,20,-99.15589720183338
Bihar,25147.357114998496,34648.82999303205,3425601,19,-99.26587043343042
Chandigarh,306.16712451022545,306.16712451022534,130907,2,-99.76535649119212
Chhattisgarh,17303.722172494396,19688.341171896893,2239713,19,-99.22736911174844
Dadra & Nagar Haveli,4.757729952920096,6.7807723687195,692,2,-99.16915873695238
Dadra And Nagar Haveli,102.0,102.0,31531,2,-99.67334771026259
Dadra And Nagar Haveli And Daman And Diu,39.33136208933797,40.58410882383907,5275,6,-99.23556933113461
Daman & Diu,18.87628878873387,19.317886597212777,2636,4,-99.24625374331688
Daman And Diu,20.272687065471214,20.41924896203632,7961,4,-99.73282231769063
Delhi,14969.984283278496,23099.965487279926,2242008,20,-99.33225137440222
Goa,696.4070329654114,696.4070329654115,94213,5,-99.25976284526142
Gujarat,9772.368130251509,11746.701189708554,2415692,17,-99.59542176384784
Haryana,5995.2372561302755,6803.817251470308,1458580,20,-99.58889926194499
Himachal Pradesh,1695.3809808968906,2279.0217386685026,494112,20,-99.65668157265709
Jammu & Kashmir,11.762614435700508,12.184089996090773,593,6,-97.85141171116155
Jammu And Kashmir,3361.6505257205,4104.616433916307,637531,17,-99.47255188355713
Jharkhand,8154.071384534957,8833.099608497938,1800381,20,-99.54703660753468
Karnataka,7435.678766507291,8482.811921590332,1658054,17,-99.55148178036873
Kerala,11229.072742050948,13728.176503767136,1879977,20,-99.40264871492906
Ladakh,71.51006763776468,80.12464777805211,10135,4,-99.28462837768583
Lakshadweep,34.74117647058823,34.74117647058823,5658,2,-99.36841886427658
Madhya Pradesh,7048.46677476944,8665.139792336411,2471209,20,-99.7147362314506
Maharashtra,39712.47490068448,45706.05955215708,6148756,20,-99.35412189974845
Manipur,2599.235279986703,3044.6973929723745,505710,20,-99.48582584124397
Meghalaya,171.45574416205392,181.76309421577895,146324,20,-99.88214198246229
Mizoram,324.36078003333756,421.9660199496422,150627,20,-99.78399714526293
Nagaland,310.0042064766768,330.2420424108906,127283,20,-99.75566119349118
Odisha,6193.342657192257,7057.167280645596,1543019,20,-99.59855720229211
Orissa,390.6234092407614,459.406599575112,74232,20,-99.47244027691085
Pondicherry,175.25320121881418,178.671436829707,32805,6,-99.46274095830393
Puducherry,216.74560522011984,219.24838708368225,60459,7,-99.63985179421084
Punjab,6004.10721095616,7576.121631119698,1561571,19,-99.61544474344083
Rajasthan,16643.914420572306,20327.159665123745,2383502,16,-99.30166169622727
Sikkim,338.330210886962,615.1607624942307,37784,18,-99.10194465823221
Tamil Nadu,16512.953527725753,22469.261799981712,2838792,19,-99.41827553020859
Telangana,10095.000536371641,12340.859601430893,2058390,19,-99.50951978820488
Tripura,1607.8561981082544,1842.4797885487872,389907,18,-99.58737543263841
Uttar Pradesh,32335.534067823774,42068.713685098075,3654663,20,-99.11519816684041
Uttarakhand,11753.894716244195,14901.493902868302,911119,17,-98.70984121561987
West  Bengal,2.939130434617528,2.9391304346175273,104,2,-96.24844720512617
West Bangal,4.594635529619857,5.137837865060525,140,3,-96.03217338324832
West Bengal,23269.868523002453,32079.571141415203,3420069,20,-99.31957917460747
Westbengal,1.7475644526874454,1.8702567695600218,104,1,-97.38327194982148
